Location,Council,Postcode or identifying number (if given),Date figures start from,Date of reply/figures correct to,Days covered,Total PCNs,PCNs 2015-16,Gross income since switched on,Gross income per day,PCNs per day,Gross income 2015-16,Amount charged,Discount for early pay,Any further penalty?,Notes
London Road / Asline Road,Sheffield,,18/01/2013,28/11/2016,1410,44124,6419,"£1,137,963.07",£807.07,31.3,"£211,455.00",£60.00,£30.00,50% surcharge if not paid in 28 days,
"Western Road, Brighton",Brighton and Hove,,25/03/2015,29/11/2016,615,13898,9580,"£494,394.40",£803.89,22.6,"£68,214.09",£60.00,,,
Unknown,Blackburn with Darwen,,14/09/2016,10/11/2016,57,4565,0,"£45,750.00",£802.63,80.1,£0.00,£60.00,£30.00,,£30 if paid in 21 days. 20 bus lanes. Cameras can be moved to different locations without notice
Cavell Drive,Portsmouth,PO6 3LG,22/07/2016,16/11/2016,117,3004,0,"£91,318.00",£780.50,25.7,£0.00,£60.00,£30.00,Can rise to £90 or £98,
Hills Road (inbound),Cambridge,CB2 1LA,05/12/2014,25/11/2016,721,21652,12488,"£562,147.00",£779.68,30.0,"£318,321.00",£60.00,£30.00,,
Bolton Road,Bradford,,11/01/2013,28/11/2016,1417,"36,154","10,093","£1,063,121.04",£750.26,25.5,"£329,648.31",£60.00,£30.00,,
"Bridge Street, Market Street junction",Bradford,,20/09/2010,28/11/2016,2261,"70,475","5,457","£1,637,712.77",£724.33,31.2,"£121,735.83",£60.00,£30.00,,
Bloomsbury Street/Great Russel Street,Camden,WC1B 3QD,11/08/2011,09/01/2017,1978,21592,4690,"£1,423,897.70",£719.87,10.9,"£296,448.61",,,,
Chiswick High Street - Homefield Road,Hounslow,W4 1SY,24/04/2012,31/12/2016,1712,18105,1919,"£1,228,341.87",£717.49,10.6,"£143,043.00",130,65,,
Highwood Road,South Gloucestershire,,01/10/2015,10/11/2016,406,"10,652","8,531","£290,489.26",£715.49,26.2,"£142,981.05",£60.00,£30.00,£90,£30 if paid in 14 days
"Nottingham Road, Mansfield",Nottinghamshire,NG8 1BL,02/02/2015,29/11/2016,666,15711,8962,"£467,127.64",£701.39,23.6,"£295,554.64",£60.00,£30.00,Can rise to £90 or £98,
St Stephens Street,Norwich,NR3 1SA,07/12/2015,05/12/2016,364,10127,4189,"£254,855.00",£700.15,27.8,"£88,710.00",£60.00,£30.00,,If paid in 14 days
Moore Street,Sheffield,,09/09/2014,28/11/2016,811,20010,5217,"£558,530.35",£688.69,24.7,"£171,446.00",£60.00,£30.00,50% surcharge if not paid in 28 days,
John Dobson Street Southbound,Newcastle-upon-Tyne,,23/02/2016,31/10/2016,251,"7,652","2,046","£169,151.00",£673.91,30.5,"£12,090.00",£60.00,£30.00,Can rise to £90 or £98,
Newmarket Road (inbound),Cambridge,CB5 8JH,05/12/2014,25/11/2016,721,18713,10204,"£483,775.00",£670.98,26.0,"£253,973.00",£60.00,£30.00,,
Albert Street,Derby,,23/07/2015,30/10/2016,465,12023,7750,"£311,555.49",£670.01,25.9,"£205,012.77",£60.00,£30.00,Discount if paid within 21 days. Rises to £90 if paid after 30 days or £98 if a debt is registered,
Church Bank (B) (Towards Well Street),Bradford,,02/11/2015,28/11/2016,392,"10,426","6,138","£248,398.42",£633.67,26.6,"£124,571.00",£60.00,£30.00,,
Heath Road,Richmond-upon-Thames,246722,17/07/2013,14/11/2016,1216,5786,2751,"£752,180.00",£618.57,4.8,"£357,630.00",130,65,,
Victoria Street,Derby,,23/07/2015,30/10/2016,465,9311,5111,"£275,384.15",£592.22,20.0,"£155,930.95",£60.00,£30.00,Discount if paid within 21 days. Rises to £90 if paid after 30 days or £98 if a debt is registered,
Boston Street,Sheffield,,19/04/2016,28/11/2016,223,3982,0,"£131,310.00",£588.83,17.9,£0.00,£60.00,£30.00,50% surcharge if not paid in 28 days,
Low Road Junc Old Mill Lane,Leeds,,,,,,7189,,£588.40,,"£214,764.50",£60.00,£30.00,,
Bullsmoor Lane opp55 EN3*,Enfield,S0004,23/12/2014,13/01/2017,752,13936,5508,"£426,227.56",£566.79,18.5,,130,65,,
"Bridge Street, Interchange junction",Bradford,,04/11/2013,28/11/2016,1120,"23,319","7,076","£612,563.09",£546.93,20.8,"£204,054.03",£60.00,£30.00,,
Chiswick High Road - Cambridge Road North,Hounslow,W4 5QD,13/03/2013,31/12/2016,1389,10936,1726,"£757,543.46",£545.39,7.9,"£137,485.00",130,65,,
"Greenford Road, Greenford (Northward) (U)",Ealing,UB6 9BE,21/10/2011,12/01/2017,1910,16030,2965,"£1,039,971.44",£544.49,8.4,"£193,723.40",130,65,,
Chiswick High Road - Acton Lane,Hounslow,W4 5TT,29/09/2013,31/12/2016,1189,9193,2076,"£635,463.14",£534.45,7.7,"£156,261.00",130,65,,
"Hales Street "" Whittle Arch""",Coventry,,01/05/2011,05/12/2016,2045,"65,518","7,644","£1,089,758.40",£532.89,32.0,"£223,862.51",£60.00,£30.00,,
Broad Street,Sheffield,,13/05/2014,28/11/2016,930,15822,3181,"£494,862.43",£532.11,17.0,"£122,053.00",£60.00,£30.00,50% surcharge if not paid in 28 days,
Mobile CCTV vehicle,Bury,,01/10/2011,17/11/2016,1874,37042,3973,"£987,476.00",£526.93,19.8,"£133,466.00",£60.00,,,
"Globe Lane, Chatham, Kent",Medway,,01/11/2011,30/11/2016,1856,29701,3245,"£975,711.66",£525.71,16.0,"£89,558.01",£60.00,£30.00,Discount if paid in 14 days,
Market Street,Wolverhampton,,30/11/2015,31/3/2016,123,,2628,,£524.63,0.0,"£64,529.00",£60.00,£30.00,,Figure not given for gross. Daily rate calculated from 2015-16 figure.
Boar Lane,Leeds,,,,,,6897,,£524.41,,"£191,410.00",£60.00,£30.00,,
York St Junc Duke St,Leeds,,,,,,6476,,£517.16,,"£188,764.17",£60.00,£30.00,,
"Mandeville Road, Northolt (North-Eastward) (U)",Ealing,UB5 4NA,24/10/2011,12/01/2017,1907,14495,3402,"£938,134.79",£491.94,7.6,"£229,085.77",130,65,,
"The Vale, Acton (Eastward) (U)",Ealing,W3 7SB,20/06/2011,12/01/2017,2033,15219,2749,"£985,620.64",£484.81,7.5,"£180,086.67",130,65,,
Wolverhampton Road West,Walsall,,12/07/2013,16/01/2017,1284,20895,4554,"£614,470.00",£478.56,16.3,"£117,701.00",60,30,£90 or £98,
Bath Rd/ Flowers Hill Inbound (By Honda Garage),Bristol,S00007,09/10/2013,23/12/2016,1171,"15,783","4,772","£556,409.01",£475.16,13.5,"£146,501.61",£60.00,£30.00,,
Bath Rd/ West Town Lane Inbound (By Bus Stop),Bristol,S00009,30/09/2013,23/12/2016,1180,"15,796","4,669","£559,189.98",£473.89,13.4,"£142,563.58",£60.00,£30.00,,
Thornton Rd junction with Ingleby Road,Bradford,,06/03/2015,28/11/2016,633,"11,164","7,640","£295,299.83",£466.51,17.6,"£208,729.19",£60.00,£30.00,,
Northam Road,Southampton,SO15 5TE,11/07/2016,01/12/2016,143,2957,0,"£64,935.00",£454.09,20.7,£0.00,£60.00,£30.00,Rises to £90 when charge certificate issued,
"Southbury Road o-s76, Enfield EN1",Enfield,S0005,03/01/2015,13/01/2017,741,13497,5820,"£335,697.00",£453.03,18.2,,130,65,,
"Bridge Street, Broadway junction",Bradford,,20/09/2010,28/11/2016,2261,"40,957","11,194","£1,022,442.06",£452.21,18.1,"£292,119.39",£60.00,£30.00,,
Bury Old Road,Salford,,25/02/2015,9/12/2016,653,9511,6077,"£293,070.00",£448.81,14.6,"£189,990.00",£60.00,£30.00,Can rise to £90 or £98,
A650 Junction with Avondale Road,Bradford,,06/02/2014,28/11/2016,1026,"15,597","5,168","£458,128.85",£446.52,15.2,"£163,572.64",£60.00,£30.00,,
Kew Road,Richmond-upon-Thames,245976,06/08/2013,14/11/2016,1196,4561,1840,"£529,930.00",£443.09,3.8,"£239,200.00",130,65,,
Parrs Wood Lane,Manchester,,17/10/2011,13/12/2016,1884,26860,3771,"£804,281.00",£426.90,14.3,"£117,883.00",£60.00,£30.00,,
Bath Rd/ Wells Rd (Three Lamps) Junction,Bristol,S00004,26/04/2013,23/12/2016,1337,"15,301","3,730","£553,076.73",£413.67,11.4,"£101,450.14",£60.00,£30.00,,
Nottingham Road,Derby,,21/01/2015,30/10/2016,648,9073,3829,"£267,991.65",£413.57,14.0,"£129,763.60",£60.00,£30.00,Discount if paid within 21 days. Rises to £90 if paid after 30 days or £98 if a debt is registered,
Wellington Road,Tameside,OL6 6DL,22/10/2014,17/11/2016,757,9771,6569,"£311,788.00",£411.87,12.9,"£193,192.00",£60.00,£30.00,,
Rampant Horse Street,Norwich,NR2 1QR,07/12/2015,05/12/2016,364,6453,4278,"£149,407.00",£410.46,17.7,"£83,494.00",£60.00,£30.00,,If paid in 14 days
Bath Rd/ Totterdown Bridge (Inbound),Bristol,S00006,05/04/2013,23/12/2016,1358,"15,382","3,981","£557,219.99",£410.32,11.3,"£118,693.56",£60.00,£30.00,,
Hatherton Road,Walsall,,30/06/2014,16/01/2017,931,17237,2499,"£380,931.00",£409.16,18.5,"£67,894.00",60,30,£90 or £98,
Manchester Road South Denton,Tameside,M34 2AF,03/07/2015,17/11/2016,503,5812,4298,"£203,248.00",£404.07,11.6,"£127,013.00",£60.00,£30.00,,
Brunton Lane,Newcastle-upon-Tyne,,27/07/2015,31/10/2016,462,"6,895","4,208","£182,139.00",£394.24,14.9,"£102,450.00",£60.00,£30.00,Can rise to £90 or £98,
"Market Street, bus gate",Bradford,,20/09/2010,28/11/2016,2261,"33,666","3,410","£881,043.85",£389.67,14.9,"£92,732.27",£60.00,£30.00,,
Cheetham Hill Road (Penrose Close to Queens Road),Manchester,,21/08/2012,13/12/2016,1575,20767,3535,"£613,323.00",£389.41,13.2,"£114,206.00",£60.00,£30.00,,
Cleveland Street,Wolverhampton,,01/06/2015,31/3/2016,305,,5054,,£389.38,0.0,"£118,761.00",£60.00,£30.00,,Figure not given for gross. Daily rate calculated from 2015-16 figure.
Rochdale Road (Livesey Street to Thompson Street),Manchester,,01/08/2013,13/12/2016,1230,16197,5172,"£476,138.00",£387.10,13.2,"£161,603.00",£60.00,£30.00,,
High Level Bridge,Newcastle-upon-Tyne,,27/07/2015,31/10/2016,462,"7,049","4,191","£174,794.00",£378.34,15.3,"£98,100.00",£60.00,£30.00,Can rise to £90 or £98,
"Nelson Street 1, bus gate",Bradford,,20/09/2010,28/11/2016,2261,"29,389","5,981","£841,777.92",£372.30,13.0,"£184,483.37",£60.00,£30.00,,
Ewell Road - between King Charles Road & the junction with Elgar Avenue,Kingston upon Thames,UAE01EWELL,19/09/2013,09/01/2017,1208,6894,1367,"£445,653.00",£368.92,5.7,"£89,245.00",,,,
"Church Road, Northolt (South-Westward) (U)",Ealing,UB5 5DW,03/09/2011,12/01/2017,1958,10478,2625,"£672,375.81",£343.40,5.4,"£172,889.77",130,65,,
North St Junc Trafalgar St,Leeds,,,,,,4080,,£342.09,,"£124,863.00",£60.00,£30.00,,
The Highway Shortstown,Bedford,,25/11/2013,9/11/2016,1080,12861,4375,"£364,321.51",£337.33,11.9,"£128,246.17",£60.00,,,
Bedford Road Wilstead,Bedford,,11/03/2013,9/11/2016,1339,12251,1984,"£442,150.53",£330.21,9.1,"£60,111.71",£60.00,,,
Caledonian Road N.1,Islington,LW0637,01/04/2015,30/11/2016,609,5484,1661,"£200,091.00",£328.56,9.0,"£79,728.00",£60.00,£30.00,,Camera enforcement started earlier but FOI response included fines paid before camera was in use. These have therefore been excluded.
"Marine Drive, Rottingdean",Brighton and Hove,,25/03/2015,29/11/2016,615,7371,5578,"£199,626.46",£324.60,12.0,"£129,621.77",£60.00,,,
Winston Churchill Avenue,Portsmouth,,24/03/2016,16/11/2016,237,1775,83,"£76,302.00",£321.95,7.5,"£2,565.00",£60.00,£30.00,Can rise to £90 or £98,
"High Street, Bloxwich",Walsall,,22/09/2015,16/01/2017,482,6573,5808,"£151,273.00",£313.84,13.6,"£130,391.00",60,30,£90 or £98,
Mansfield Road,Sheffield,,23/02/2015,28/11/2016,644,7300,2894,"£201,767.00",£313.30,11.3,"£111,404.00",£60.00,£30.00,50% surcharge if not paid in 28 days,
"Ruislip Road, Greenford (South-Eastward & Eastward) (U)",Ealing,UB6 9QN,26/07/2011,12/01/2017,1997,9887,1768,"£624,618.04",£312.78,5.0,"£115,049.02",130,65,,
North End Road Northbound,Hammersmith and Fulham,223,01/04/2009,30/11/2016,2800,13664,5063,"£862,438.00",£308.01,4.9,"£322,092.00",130,65,,
Call Lane,Leeds,,,,,,5532,,£306.56,,"£111,894.00",£60.00,£30.00,,
Bath Rd/ P&R Junction Inbound,Bristol,S00010,30/09/2013,23/12/2016,1180,"9,852","4,003","£356,357.89",£302.00,8.3,"£118,354.07",£60.00,£30.00,,
"Hanger Lane, Ealing (Southward) (U)",Ealing,W5 1DY,21/10/2011,12/01/2017,1910,9365,1504,"£568,688.62",£297.74,4.9,"£87,069.45",130,65,,
Commercial Road,Portsmouth,PO1 4BL,02/02/2015,16/11/2016,653,7059,3126,"£192,495.00",£294.79,10.8,"£91,318.00",£60.00,£30.00,Can rise to £90 or £98,
Horne Lane,Bedford,,11/03/2013,9/11/2016,1339,13868,5241,"£391,257.30",£292.20,10.4,"£154,145.07",£60.00,,,
"Waterfront Way, Chatham, Kent",Medway,,01/11/2011,30/11/2016,1856,17835,3368,"£536,273.87",£288.94,9.6,"£91,475.90",£60.00,£30.00,Discount if paid in 14 days,
South Lane,Sheffield,,07/05/2014,28/11/2016,936,17357,4198,"£264,982.00",£283.10,18.5,"£76,214.00",£60.00,£30.00,50% surcharge if not paid in 28 days,
Coach House Place,Bournemouth,,18/02/2013,02/12/2016,1383,18137,3439,"£388,000.00",£280.55,13.1,"£79,000.00",£60.00,,,
Bishop Crispian Way,Portsmouth,PO1 3HG,02/02/2015,16/11/2016,653,6949,2055,"£182,226.00",£279.06,10.6,"£58,161.00",£60.00,£30.00,Can rise to £90 or £98,
Rochdale Road (Lathbury Road to Queens Road),Manchester,,09/03/2015,13/12/2016,645,6201,4169,"£178,316.00",£276.46,9.6,"£127,643.00",£60.00,£30.00,,
"Lower Road / Fletcher Road (Tram Gate), Beeston (2 cameras)",Nottinghamshire,NG9,20/07/2015,29/11/2016,498,5659,3630,"£136,957.58",£275.02,11.4,"£82,645.58",£60.00,£30.00,Can rise to £90 or £98,
Link between Ordnance Avenue and Birchwood Way (southbound),Warrington,,28/07/2016,24/11/2016,119,902,0,"£31,830.00",£267.48,7.6,£0.00,£60.00,£30.00,,
"Pett's Hill, Northolt (Northward) (809)",Ealing,UB5 4NW,19/01/2011,12/01/2017,2185,8896,3085,"£583,304.72",£266.96,4.1,"£204,511.16",130,65,,
Kirkstall Road (Junc Viaduct Rd),Leeds,,,,,,3176,,£260.84,,"£95,207.00",£60.00,£30.00,,
Broadmead/ Union St Junction,Bristol,S00001,09/11/2012,23/12/2016,1505,"10,293","2,873","£388,562.98",£258.18,6.8,"£80,083.17",£60.00,£30.00,,
Essex Road / Rivers Place,Islington,LW0590,01/04/2014,30/11/2016,974,4044,1400,"£250,559.98",£257.25,4.2,"£92,016.00",£60.00,£30.00,,Camera enforcement started earlier but FOI response included fines paid before camera was in use. These have therefore been excluded.
Roundhay Rd Junc Shepherds Lane,Leeds,,,,,,3220,,£251.62,,"£91,842.00",£60.00,£30.00,,
Vicar Lane,Leeds,,,,,,3519,,£249.87,,"£91,200.77",£60.00,£30.00,,
Normanton Road,Derby,,09/09/2015,30/10/2016,417,4034,1035,"£101,677.24",£243.83,9.7,"£74,219.64",£60.00,£30.00,Discount if paid within 21 days. Rises to £90 if paid after 30 days or £98 if a debt is registered,
Huddersfield Road Junction with Netherlands Ave,Bradford,,07/01/2014,28/11/2016,1056,"9,595","2,612","£257,066.18",£243.43,9.1,"£80,802.28",£60.00,£30.00,,
"Pett's Hill, Northolt (Northward) (2) (U)",Ealing,UB5 4NP,13/09/2011,12/01/2017,1948,7578,1827,"£473,930.50",£243.29,3.9,"£116,676.58",130,65,,
Cheltenham Rd/ Zetland Rd Junction (Nr Bishops),Bristol,S00005,18/03/2013,23/12/2016,1376,"9,281",0,"£334,519.96",£243.11,6.7,-,£60.00,£30.00,,
Kilburn High Road/Grangeway,Camden,NW1 8JA,11/08/2011,09/01/2017,1978,7628,2028,"£478,787.80",£242.06,3.9,"£123,663.54",,,,
Crescent,Salford,,01/12/2014,9/12/2016,739,6671,3437,"£176,760.00",£239.19,9.0,"£95,850.00",£60.00,£30.00,Can rise to £90 or £98,
Great North Road,Newcastle-upon-Tyne,,27/07/2015,31/10/2016,462,"4,604","3,557","£110,348.00",£238.85,10.0,"£81,000.00",£60.00,£30.00,Can rise to £90 or £98,
"Typhoon Way, Brockworth",Gloucestershire,GL3 4DX,23/10/2013,01/12/2016,1135,9243,4090,"£269,594.21",£237.53,8.1,"£126,586.90",£50 or £70 ,50%,Discount if paid within 14 days. Rises to £90 after £28 days,
Greenheys Lane,Manchester,,09/04/2010,13/12/2016,2440,18901,4282,"£577,468.00",£236.67,7.7,"£139,056.00",£60.00,£30.00,,
Shipley Market Square - bus gate,Bradford,,20/09/2010,28/11/2016,2261,"18,172","1,958","£531,104.89",£234.90,8.0,"£62,224.38",£60.00,£30.00,,
Wood Lane Northbound,Hammersmith and Fulham,342,01/04/2009,30/11/2016,2800,11141,5565,"£644,283.00",£230.10,4.0,"£328,419.00",130,65,,
Friar Gate,Derby,,21/01/2015,30/10/2016,648,5183,2503,"£147,543.10",£227.69,8.0,"£75,762.70",£60.00,£30.00,Discount if paid within 21 days. Rises to £90 if paid after 30 days or £98 if a debt is registered,
Lordship Lane,Southwark,,12/01/2007,12/01/2017,3653,,1155,,£226.66,,"£82,729.69",130,65,,
Bedminster Parade Inbound (Opp Boot Ln),Bristol,S00002,09/11/2012,23/12/2016,1505,"9,266","1,946","£340,542.15",£226.27,6.2,"£46,195.68",£60.00,£30.00,,
Wood Lane Northbound Opp White City station,Hammersmith and Fulham,"338,340",01/04/2009,30/11/2016,2800,9698,4437,"£621,199.00",£221.86,3.5,"£288,237.00",130,65,,
Ardwick Green South,Manchester,,12/12/2011,13/12/2016,1828,14042,2297,"£401,906.00",£219.86,7.7,"£66,650.00",£60.00,£30.00,,
Gosford Street,Coventry,,01/07/2015,05/12/2016,523,"6,639","3,834","£106,505.35",£203.64,12.7,"£67,893.53",£60.00,£30.00,,
"Broadway, West Ealing (Eastward) (U)",Ealing,W13 0SU,19/10/2013,12/01/2017,1181,3819,1740,"£239,162.86",£202.51,3.2,"£111,544.66",130,65,,
"Uxbridge Road, Ealing (Eastward) (U)",Ealing,W5 3HN,21/12/2011,12/01/2017,1849,5691,863,"£374,293.24",£202.43,3.1,"£56,491.00",130,65,,
"Northern Most, Grosvenor Road, Tunbridge Wells",Tunbridge Wells,TN1 2AA,16/10/2013,20/12/2016,1161,7393,5797,"£234,618.00",£202.08,6.4,"£88,727.00",£30.00,,Rises to £97 depending on when paid,
"Southern Most, Grosvenor Road, Tunbridge Wells",Tunbridge Wells,TN1 1QG,16/10/2013,20/12/2016,1161,7393,5797,"£234,618.00",£202.08,6.4,"£88,727.00",£30.00,,Rises to £97 depending on when paid,
Junction Road,Islington,LW0589,01/04/2014,30/11/2016,974,144,0,"£195,837.42",£201.07,0.1,"£100,848.00",£60.00,£30.00,,Camera enforcement started earlier but FOI response included fines paid before camera was in use. These have therefore been excluded.
"Greenford Road, Greenford (Southward) (823)",Ealing,UB6 8SJ,15/03/2011,12/01/2017,2130,6458,1580,"£424,999.50",£199.53,3.0,"£104,825.61",130,65,,
Oldham Road nr Playground Ashton,Tameside,OL7 9ND,02/12/2014,17/11/2016,716,4744,1798,"£140,921.00",£196.82,6.6,"£50,934.00",£60.00,£30.00,,
Bath Rd/ Bristol Hill (By Murco Garage),Bristol,S00003,09/11/2012,23/12/2016,1505,"8,075","1,860","£295,408.62",£196.28,5.4,"£52,852.28",£60.00,£30.00,,
Sky Blue Way,Coventry,,01/09/2013,05/12/2016,1191,"15,221","2,217","£229,817.36",£192.96,12.8,"£65,704.17",£60.00,£30.00,,
A650 Junction with Sleningford Road,Bradford,,20/03/2014,28/11/2016,984,"6,733","1,662","£187,539.66",£190.59,6.8,"£57,426.23",£60.00,£30.00,,
Chequers Road,Derby,,09/09/2015,30/10/2016,417,2623,1582,"£78,575.48",£188.43,6.3,"£49,626.48",£60.00,£30.00,Discount if paid within 21 days. Rises to £90 if paid after 30 days or £98 if a debt is registered,
Union st,Bristol,17,01/05/2011,23/12/2016,2063,"10,293","2,873","£388,562.98",£188.35,5.0,"£80,083.17",£60.00,£30.00,,
Cambridge Road - junction with Victoria Road (eastbound),Kingston upon Thames,LW0878,27/10/2015,09/01/2017,440,1325,489,"£82,617.00",£187.77,3.0,"£31,985.00",,,,
Vicar Lane (Junc Kirkgate),Leeds,,,,,,2563,,£187.02,,"£68,263.00",£60.00,£30.00,,
"Llanthony Bridge, Llanthony Road, Gloucester",Gloucestershire,,07/05/2012,01/12/2016,1669,12797,3684,"£309,322.81",£185.33,7.7,"£105,620.85",£50 or £70 ,50%,Discount if paid within 14 days. Rises to £90 after £28 days,
Uttoxeter New Road,Derby,,02/07/2015,30/10/2016,486,3106,2156,"£89,313.28",£183.77,6.4,"£62,955.99",£60.00,£30.00,Discount if paid within 21 days. Rises to £90 if paid after 30 days or £98 if a debt is registered,
Clerkenwell Road,Islington,LW0608,01/04/2014,30/11/2016,974,4175,1316,"£178,276.01",£183.03,4.3,"£63,168.00",£60.00,£30.00,,Camera enforcement started earlier but FOI response included fines paid before camera was in use. These have therefore been excluded.
Old Street / Roundabout,Islington,LW0586,01/04/2014,30/11/2016,974,3905,1323,"£178,175.75",£182.93,4.0,"£63,504.00",£60.00,£30.00,,Camera enforcement started earlier but FOI response included fines paid before camera was in use. These have therefore been excluded.
Green Lanes/Sidney Avenue N13,Enfield,S0001,11/12/2014,13/01/2017,764,9564,5149,"£136,956.00",£179.26,12.5,,130,65,,
Ashton Old Road,Manchester,,25/07/2013,13/12/2016,1237,7510,1339,"£221,646.00",£179.18,6.1,"£41,456.00",£60.00,£30.00,,
Stafford Street,Wolverhampton,,01/06/2015,31/3/2016,305,,2354,,£178.10,0.0,"£54,322.00",£60.00,£30.00,,Figure not given for gross. Daily rate calculated from 2015-16 figure.
New Market Street,Leeds,,,,,,1893,,£176.41,,"£64,391.00",£60.00,£30.00,,
"Ghyllgrove South, Basildon",Essex,,01/03/2016,08/11/2016,252,2631,27,"£44,220.00",£175.48,10.4,£0.00,£60.00,£30.00,Discount if paid within 14 days. Rises to £90 after £28 days,
York Road Junc Skelton Terrace,Leeds,,,,,,2021,,£171.30,,"£62,524.00",£60.00,£30.00,,
